"gene_id","symbol","has_symbol","approved_symbol","has_entrez","chr","start","end","strand","width","gene_biotype","in_ensembl","retired","pass_biotype","is_coding","complete_orf","multi_exon","n_tx","max_exons","has_ccds","min_tsl","has_appris_principal","has_gencode_basic","overlaps_full","nested_in_full","overlaps_keep","nested_in_keep","confidence_tier","keep","keep_no_nested","keep_high_medium","keep_high_medium_no_nested","keep_high","keep_high_no_nested"
"ENSG00000000003","TSPAN6",TRUE,TRUE,TRUE,"chrX",100627109,100639991,"-",12883,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,8,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000000005","TNMD",TRUE,TRUE,TRUE,"chrX",100584802,100599885,"+",15084,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,7,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000000419","DPM1",TRUE,TRUE,TRUE,"chr20",50934867,50958555,"-",23689,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,10,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000000457","SCYL3",TRUE,TRUE,TRUE,"chr1",169849631,169894267,"-",44637,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,14,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000000460","FIRRM",TRUE,TRUE,TRUE,"chr1",169662007,169854080,"+",192074,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,29,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000000938","FGR",TRUE,TRUE,TRUE,"chr1",27612064,27635277,"-",23214,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7,13,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000000971","CFH",TRUE,TRUE,TRUE,"chr1",196651878,196747504,"+",95627,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,22,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001036","FUCA2",TRUE,TRUE,TRUE,"chr6",143494811,143511690,"-",16880,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,7,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001084","GCLC",TRUE,TRUE,TRUE,"chr6",53497341,53616970,"-",119630,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,13,16,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001167","NFYA",TRUE,TRUE,TRUE,"chr6",41072945,41099976,"+",27032,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,10,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001460","STPG1",TRUE,TRUE,TRUE,"chr1",24356999,24416934,"-",59936,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,12,10,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001461","NIPAL3",TRUE,TRUE,TRUE,"chr1",24415794,24472976,"+",57183,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7,13,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001497","LAS1L",TRUE,TRUE,TRUE,"chrX",65512582,65534775,"-",22194,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,14,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001561","ENPP4",TRUE,TRUE,TRUE,"chr6",46129993,46146699,"+",16707,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,4,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001617","SEMA3F",TRUE,TRUE,TRUE,"chr3",50155045,50189075,"+",34031,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,19,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001626","CFTR",TRUE,TRUE,TRUE,"chr7",117465784,117715971,"+",250188,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,11,27,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001629","ANKIB1",TRUE,TRUE,TRUE,"chr7",92246234,92401384,"+",155151,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7,20,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001630","CYP51A1",TRUE,TRUE,TRUE,"chr7",92112151,92142952,"-",30802,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,10,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000001631","KRIT1",TRUE,TRUE,TRUE,"chr7",92198969,92246166,"-",47198,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,25,20,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002016","RAD52",TRUE,TRUE,TRUE,"chr12",912077,990053,"-",77977,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,20,14,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002079",NA,FALSE,FALSE,FALSE,"chr7",99238794,99311130,"+",72337,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,7,43,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"excluded",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
